"If you havent already obtained a blaze burner, work your way into the ","如果还没获得烈焰人燃烧室，就前往 "
"You can take the converted Oxygen out by filling a &6Buckets&r, &6Oxygen Tanks&r, or a &6Space Suit&r. Using an Oxygen Tank will fill your Space Suit.","你可以通过放入&6桶&r、&6氧气储罐&r或&6太空服&r来取出转换的氧气。氧气储罐可以给你的太空服充氧"
"Microwave","微波炉"
"The &bBaBee Incubator&r can &6rapidly age baby Bees&r, requiring FE and Honey Treats.","&b小蜜蜂孵化器&r可以&6快速孵化的小蜜蜂&r，需要FE和蜂蜜小食"
"Amethyst Golems","紫晶傀儡"
"Unstable Armor","不稳定盔甲"
"Laser Lenses","镭射透镜"
"Most IF machines require &6Rubber&r in the recipes. The first step to getting Rubber is crafting the &bFluid Extractor&r.","多数IF机器配方都需要&6橡胶&r。获得橡胶的第一步是制作&b树液提取器&r"
"Like, we all believe in the magic of technology; it feels so permanent but, just like that, it's gone.","恰如科技之幻，电光石火。其兴也勃，其亡也忽。"
"Crushed Netherrack → Springaline Desh Mesh","粉碎下界岩 → 春涌戴斯筛网"
"[\""\"",\""Goat                             \"",{\""text\"":\""[ Toggle ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:goat\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Toggles the Goat Event. Spawns a random Quantum Goat near you!\""]}}]","[\""\"",\""山羊　　　　　　　　　　　　　　　　\"",{\""text\"":\""[ 开关 ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:goat\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""开关山羊事件。在你身边随机生成一只量子山羊！\""]}}]"
"The &bNetherite Space Suit&r provides &6complete heat resistence&r, which is a strict requirement for Mercury and Venus.","&b下界合金太空服&r提供&6完整的热防护&r，刚好符合水星和金星的严苛要求"
"&6Spellbooks&r are the focus for your spells. They are &6where spells are customized and cast from&r.","&6法术书&r是法术的核心，它是你&6自定义法术和施法的地方&r。"
"The most basic yet most useful filters.","最基础但最有用的过滤器"
"The &bRunic Altar&r is used to craft items together using Mana.","&b符文祭坛&r可以使用魔力制作物品"
"Disco Reactor","迪斯科反应堆"
"The &bMekaSuit&r is an incredibly powerful &6upgradable armor set&r.","&bMeka套装&r是一个非常强大的&6高级盔甲套装&r。"
"&bRickety Water Wheels&r produce rotational force from flowing water. Eventually you'll be able to make better sources, but that's later.","&b水车&r从流水中产生动力。之后你可以做更好的动力源，但现在说太早。"
"Modded Chestplates","模组胸甲"
"Log(Tree)","原木（树）"
"&bElectric Motors&r uses FE to generate rotational energy. The conversion rate is roughly 1:1 with a slight loss to FE. This can be a convenient solution for setting up SU energy in remote locations by first converting to FE","&b电动机&r利用FE生产应力。 转换率大约为1:1，FE会略微损失。"
"[\""\"",\""\"",{\""text\"":\""[ Rickety Waterwheels ]\"",\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/ftbquests open_book 703631B507075DC1\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Take me to the Quest\""]}}]","[\""\"",\""\"",{\""text\"":\""[ 松散水车 ]\"",\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/ftbquests open_book 703631B507075DC1\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""前往该任务\""]}}]"
"The &b\""Super\"" Cooler&r will take a liquid input and up to 3 items and produce a new item at the cost of FE. These can be a bit tricky to automate so make sure to check your input and output filtering. ","&b“超级”冷却器&r有一个液体输入槽和3个物品槽，通过消耗FE生成一个新物品。这些东西自动化可能有点难，所以确保检查一下你输入和输出的过滤。"
"Rock City","“石家庄”"
"FTB Skies","FTB Skies"
"The &bKiln brick&r is used to make a kiln. Put 8 kiln bricks together and smack them with a hammer. Boom. Kiln. Now you can make alloys.","&b窑砖&r用于制作合金窑。把8个窑砖放在一起用锤子右击它们。当当，一个窑。现在你可以制作合金了。"
"Applied Energistics 2","应用能源2"
"&bChopping Tools&r are needed in many recipes.","许多配方都需要&b砍伐工具&r。"
"The Applicator can store 8 colors. Cycle through by sneak right-clicking other blocks. Holding the Applicator in the offhand while placing Pedestals will automatically color them.","染色器可存储8种颜色。通过潜行右击其他方块来循环浏览。放置基座时，副手持有染色器，基座会自动染色"
"Schematic Cannons","蓝图加农炮"
"Battlemage","战斗法师"
"You'll then need to make your way to the moon to gather some Desh ore. By alloying the Springaline with Desh you can create a magically stable metal that and refine even more resources from mundane items.","然后，您需要前往月球采集一些戴斯矿石。通过将春涌水晶与戴斯锭结合，制作出一种神奇稳定的金属，从普通物品中筛出更多的资源"
"So You Find Our Puns HUMERUS?","所以你能理解我的谐音梗吗？亲“骨”。"
"Mob Farm Upgrades","怪物农场升级"
"Once you get wheat you can create &bChickenpalooza Gates&r for lots of chicken. Lastly, there should be an easter egg hidden somewhere on your island as well which may provide some assistance...","你得到小麦后，就可以做一个&b坤坤传送门&r获得大量的只因了。最后，在你的岛上某个地方应该藏着一个彩蛋，也可以提供一些帮助……"
"Passive mobs produce more Pink Slime, so you should automate breeding them.","被动生物会产生更多的粉色史莱姆液，所以你需要自动繁殖它们"
"Into the Void","进入虚空"
"The &bStorage Lectern&r can be used to &6view, manage, and access multiple nearby inventories&r, within a 30 block radius.","&b存储讲台&r可以&6查看、管理和访问附近的多个容器&r（半径30格）"
"Make an Augment","制作扩展"
"&bTop tier&r spell components can only be cast through an &bArchmage Spell Book&r.","&b顶级&r魔符法术只能通过&b大法师法术书&r施放。"
"&6Place a raw fish inside a dispenser and dispense it. It will summon a live Fish for you to re-kill and farm Water shards.&r","&6将一条生鱼放在发射器里发射它。可以召唤一条活鱼，然后击杀，重复以上步骤可以建造水元素碎片农场。&r"
"Voice Command","声音指令"
"In order to use it, you'll have to &6create a network&r and then connect to it.","你必须先&6创建一个网络&r才能使用输入点。"
"The &bInfinity Tools&r are &6powered by Biofuel&r, but &6become more powerful the more FE they have&r.","&b无限工具&r由&6生物燃料供能&r，&6FE能量越多&r就越强大"
"Iesnium is a rare metal that can normally only be seen by those attuned to the spirit world. But you will create it by infusing silver with liquid force. ","艾瑟金属是一种罕见的金属，通常只有那些同调到精神世界的人才能看到。但你可以通过向银注入液体力量来创造它。"
"A &bThermopneumatic Processing Plant&r is used to process liquids into other liquids. ","&b热气动加工机&r用于将液体加工成其他液体"
"From chests to vaults","从箱子到保险柜"
"&bKitchen Counters and Cabinets&r provide the Cooking Table with &6extra storage&r, so you don't have to hold everything in your inventory.","&b厨房柜台和橱柜&r为烹饪桌提供额外的存储空间，所以你不需要把东西都放在背包里了。"
"Kill a Blizz","击杀：1x暴雪人"
"Now by selecting one of the named Tabs you can also specify the Bookwyrm to put items into a specific \""Tab\"" chest.","通过选择已命名的标签页，你可以指定书龙将物品放入特定标签的箱子。"
"&bForce-Infused Biodiesel&r burns twice as long and produces twice as much stress units as traditional biodiesel. ","&b力量灌注生物柴油&r的燃烧时间和产生的应力都是普通生物柴油的两倍。"
"&bJetpacks&r from &eMekanism&r use Hydrogen gas to allow you to &6fly when worn&r. Simply hold jump to boost upward!","来自&e通用机械&r的&b喷气背包&r使用氢气作为能源进行飞行。只需要按住空格就可以起飞！"
"Bookwyrms can actually be dyed in a few diffrent colors! ","书龙可以被染成几种不同的颜色！"
"Then, when the babies are grown, use a second Baby Separator to teleport the adults to a third pen, ready for slaughter.","然后，当这些幼崽长大时，使用第二个幼仔分管机将成年生物传送到新的圈，并准备屠宰"
"Luckily, you aren't a Jedi.","所幸，你不是绝地武士。"
"Farm some Nether Mobs","养殖一些下界生物"
"To see the recipes for various entities press u to check the uses while hovering over the soul pedestal in JEI.","要查看各种实体的合成配方，请在JEI中对灵魂基座按u键"
"The &bOxygen Loader&r is used to &6pull Oxygen from Water&r.","&b氧气装载器&r用于&6从水中提取氧气&r"
"Using a &bPhythogenic Insulator&r will &6grow crops and plants in its inventory&r.","可以在&b有机灌注器&r中&6种植作物和植物&r。"
"Hey! This quest's already blue!","嘿！这个任务已经完成了！"
"Later you will be able to make a Flux Compressor to produce much more.","以后你就可以制作通量压缩机，产生更多的压力"
"Craft one of these &blow-tier Hammers&r, and use it on a vanilla Crafting Table to get a &6Workbench&r, where tools are modified and created.","制作一些低级锤子，在原版加工台上使用就可以获得一个可以修改和制作工具的加工台。"
"While &6Starbuncles&r are normally afraid of humans, they will allow someone to approach if they are holding a gold nugget.","通常情况下&6星宝石兽&r害怕人类。但如果有人拿着金粒，就能被允许接近它们。"
"Kill the Ender Dragon, Trigon","杀死末影龙，Trigon"
"Masterful Magics","魔法"
"It will also &6permanently increase your Mana and Mana Regen&r.","它还会&6永久增加你的魔力和魔力再生&r。"
"The &bTag Tool&r, when used in the mainhand, will display the item tags of what is held in the offhand.","&b标签工具&r在主手使用时，将显示副手所持物品的物品标签"
"When used with Reactors, this will generate a massive amount of FE.","与反应堆一起使用时产生大量的FE。"
